institution_id,name_sr,name_en,institution_type_sr,institution_type_en,active_from,active_to,historical_name_sr,current_name_sr,wikidata,official_url,source_id,evidence_page_pdf,evidence_note,verification_status,note
I011,Сенат Краљевине Србије,Senate of the Kingdom of Serbia,горњи дом парламента,upper house of parliament,1901,1903,,,https://www.wikidata.org/entity/Q12758772,,book-2025-usklici-iskrenog-odusevljenja,29,Помиње се као део дводомног система уведеног Уставом из 1901. године.,verified_authority,
I012,Министарски савет Краљевине Србије,Council of Ministers of the Kingdom of Serbia,влада,government,1882,1918,Влада Краљевине Србије,,https://www.wikidata.org/entity/Q25462482,,book-2025-usklici-iskrenog-odusevljenja,29,Политички и организациони оквир владарског путовања; у тексту се најчешће означава као Влада.,verified_authority,
I013,Општина Чачак,Municipality of Čačak,локална управа,municipal government,,,Општина Чачак,Град Чачак,,,book-2025-usklici-iskrenog-odusevljenja,119,Организовала је банкет и учествовала у церемонијалном дочеку владарског пара.,source_verified_no_external_id,"Wikidata Q2047419 означава административну територију/град, а не историјску општинску управу, па није употребљена као идентична ставка."
I014,Ратарска школа у Краљеву,School of Agriculture in Kraljevo,стручна школа,vocational school,,,Ратарска школа,Пољопривредно-хемијска школа „Др Ђорђе Радић” Краљево,,https://www.ratarica.edu.rs/,book-2025-usklici-iskrenog-odusevljenja,84,Школа и њена зграда били су једна од главних тачака дочека у Краљеву.,source_verified_successor_pending,"Савремена школа има Wikidata Q65199196, али институционални континуитет са историјском Ратарском школом треба посебно документовати пре постављања sameAs везе."
I015,19. артиљеријски пук у Чачку,19th Artillery Regiment in Čačak,војна јединица,military unit,,,19. артиљеријски пук,,,,conference_paper-2016-battle-of-ljubic-in-official-representative-culture-of-cacak-in-the-19,8,Пук је пре Другог светског рата обележавао погибију свог патрона Танаска Рајића као славу.,source_verified_no_external_id,Назив је нормализован из OCR-а скениране публикације; потребна је додатна архивска провера пуног службеног назива и периода деловања.
I016,Народни музеј Србије,National Museum of Serbia,музеј,museum,1844,,Народни музеј у Београду,Народни музеј Србије,https://www.wikidata.org/entity/Q1277393,https://www.narodnimuzej.rs/,article-2026-heroization-of-the-painter-nadezda-petrovic-1915-1941,13,Чува рукописну грађу Надежде и Растка Петровића и учествује у музејској валоризацији њеног дела.,verified_authority,
I017,Етнографски музеј у Београду,Ethnographic Museum in Belgrade,музеј,museum,1901,,,Етнографски музеј у Београду,https://www.wikidata.org/entity/Q1291533,https://etnografskimuzej.rs/,article-2026-heroization-of-the-painter-nadezda-petrovic-1915-1941,8,Његова архива и етнографска збирка Надежде Петровић користе се у реконструкцији јавног и националног рада.,verified_authority,
I018,Међуопштински историјски архив Чачак,Intermunicipal Historical Archives of Čačak,архив,archive,1948,,Историјски архив Чачак,Међуопштински историјски архив Чачак,,https://arhivcacak.org.rs/,book-2025-nadezda-petrovic-life-art-service-nation,47,Архивска грађа установе коришћена је за породични и локални контекст Надежде Петровић.,source_verified_authority_pending,
I019,Коло српских сестара,Circle of Serbian Sisters,хуманитарно и патриотско удружење,humanitarian and patriotic association,1903,,,Коло српских сестара,https://www.wikidata.org/entity/Q5121486,,book-2025-nadezda-petrovic-life-art-service-nation,81,Надежда Петровић и Делфа Иванић учествовале су у оснивању и раду удружења.,verified_authority,
I020,Народна одбрана,Narodna Odbrana,патриотско удружење,patriotic association,1908,,,,https://www.wikidata.org/entity/Q1276907,,book-2025-nadezda-petrovic-life-art-service-nation,166,Организација је важан оквир националног ангажмана Надежде Петровић после 1908.,verified_authority,
I021,Удружење пријатеља уметности „Цвијета Зузорић”,Cvijeta Zuzorić Association of Friends of Art,уметничко удружење,art association,1922,,Удружење пријатеља уметности „Цвијета Зузорић”,,,,article-2026-heroization-of-the-painter-nadezda-petrovic-1915-1941,19,Организовало је посмртну изложбу Надежде Петровић и допринело њеној уметничкој канонизацији.,source_verified_no_external_id,
I022,Југословенска уметничка колонија,Yugoslav Art Colony,уметничка група,art group,1905,1907,,,,,article-2026-jugoslovensko-opredeljenje-nadezde-petrovic-kultura-modernizam-konstrukcija-identiteta,9,Један од кључних организационих облика југословенског културног програма Надежде Петровић и њених сарадника.,source_verified_no_external_id,
I023,Одбор за организацију уметничких послова Србије и југословенства,Committee for the Organization of Artistic Affairs of Serbia and Yugoslavism,уметнички и културни одбор,art and cultural committee,1913,1913,,,,,article-2026-jugoslovensko-opredeljenje-nadezde-petrovic-kultura-modernizam-konstrukcija-identiteta,1,Наведен као важна институционална тачка позног југословенског програма Надежде Петровић.,source_verified_no_external_id,Назив је нормализован према формулацији у раду.
I024,Српски Црвени крст,Serbian Red Cross,хуманитарна организација,humanitarian organization,1876,,Друштво Црвеног крста Србије,Црвени крст Србије,https://www.wikidata.org/entity/Q20011251,https://www.redcross.org.rs/,book-2025-nadezda-petrovic-life-art-service-nation,169,Институционални оквир болничарског и хуманитарног деловања Надежде Петровић.,verified_authority,
I025,ЈП Службени гласник,Official Gazette Publishing Company,издавач,publisher,1992,,,ЈП Службени гласник,,https://www.slglasnik.com/,book-2025-nadezda-petrovic-life-art-service-nation,3,Издавач монографије о Надежди Петровић из 2025. године.,source_verified_authority_pending,
I026,Институт за новију историју Србије,Institute for Recent History of Serbia,научни институт,research institute,1958,,Институт за савремену историју,Институт за новију историју Србије,,https://inis.bg.ac.rs/,article-2026-heroization-of-the-painter-nadezda-petrovic-1915-1941,1,Издавач часописа Токови историје у коме је објављен рад о хероизацији Надежде Петровић.,source_verified_authority_pending,Wikidata претрага враћа две ставке истог назива; идентификатор није постављен без додатне проверe.
I027,Предузеће „Слобода – Чачак”,Sloboda – Čačak Enterprise,предузеће војне индустрије,defence-industry enterprise,1948,,Слобода – Чачак,Слобода Чачак а.д.,,,conference_paper-2025-osnivanje-rad-preduzeca-sloboda-cacak-1948-1958,PDF 23,Публикација наводи да је предузеће званично основано 10. јула 1948.,source_verified,Спољни ауторитетски идентификатор није унет без независне провере.
I028,Хидроелектрана „Овчар Бања”,Ovčar Banja Hydroelectric Power Plant,хидроелектрана,hydroelectric power plant,1954,,ХЕ Овчар Бања,ХЕ Овчар Бања,,,conference_paper-2024-elektrifikacija-srbije-posle-1945-hidroelektrane-ovcarsko-kablarska-klisura,PDF 31,Рад обрађује изградњу и пуштање у рад хидроелектране.,source_verified,Ауторитетска допуна остаје одвојен задатак.
I029,Хидроелектрана „Међувршје”,Međuvršje Hydroelectric Power Plant,хидроелектрана,hydroelectric power plant,1955,,ХЕ Међувршје,ХЕ Међувршје,,,conference_paper-2024-elektrifikacija-srbije-posle-1945-hidroelektrane-ovcarsko-kablarska-klisura,PDF 31,Рад обрађује изградњу и почетак рада хидроелектране.,source_verified,Година означава пуштање првог генератора у рад.
I030,Технички ремонтни завод Чачак,Technical Overhaul Institute Čačak,војно ремонтно предузеће,military maintenance enterprise,1953,,Технички ремонтни завод – Чачак,Технички ремонтни завод Чачак,,,article-2010-industrijalizacija-cacka-1944-1956,PDF 17,"У раду је наведен међу кључним новим индустријским погонима, са годином оснивања 1953.",source_verified,Спољни ауторитетски идентификатор није претпостављен.
I031,Конак господара Јована Обреновића,Residence of Master Jovan Obrenović,историјска грађевина и музејски простор,historic residence and museum venue,,,,Конак господара Јована Обреновића,,,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,1,Место сталне поставке „Устанци и ратови 1804–1941”.,source_verified,Спољни ауторитетски идентификатор није унет без посебне провере.
I032,Историјско одељење Народног музеја Чачак,History Department of the National Museum Čačak,музејско одељење,museum department,,,,Историјско одељење Народног музеја Чачак,,,article-2016-history-department-of-the-national-museum-in-cacak-development-and-str,8–19,Основни предмет рада о баштињењу и структури сталне поставке.,source_verified,Спољни ауторитетски идентификатор није унет без посебне провере.
I033,Манастир Благовештење,Blagoveštenje Monastery,манастир,monastery,,,,Манастир Благовештење,,,book-2012-ok-manastiri,15–18,Један од манастира Овчарско-кабларске клисуре обрађених у монографији.,source_verified,Спољни ауторитетски идентификатор није унет без посебне провере.
I034,Манастир Никоље,Nikolje Monastery,манастир,monastery,,,,Манастир Никоље,,,book-2012-ok-manastiri,15–18,Један од манастира Овчарско-кабларске клисуре обрађених у монографији.,source_verified,Спољни ауторитетски идентификатор није унет без посебне провере.
I035,Манастир Сретење,Sretenje Monastery,манастир,monastery,,,,Манастир Сретење,,,book-2012-ok-manastiri,15–18,Један од манастира Овчарско-кабларске клисуре обрађених у монографији.,source_verified,Спољни ауторитетски идентификатор није унет без посебне провере.
I036,Манастир Света Тројица,Holy Trinity Monastery,манастир,monastery,,,,Манастир Света Тројица,,,book-2012-ok-manastiri,15–18,Један од манастира Овчарско-кабларске клисуре обрађених у монографији.,source_verified,Спољни ауторитетски идентификатор није унет без посебне провере.
I037,Манастир Преображење,Preobraženje Monastery,манастир,monastery,,,,Манастир Преображење,,,book-2012-ok-manastiri,17–18,Један од манастира Овчарско-кабларске клисуре обрађених у монографији.,source_verified,Спољни ауторитетски идентификатор није унет без посебне провере.
I038,Манастир Ваведење,Vavedenje Monastery,манастир,monastery,,,,Манастир Ваведење,,,book-2012-ok-manastiri,17–18,Један од манастира Овчарско-кабларске клисуре обрађених у монографији.,source_verified,Спољни ауторитетски идентификатор није унет без посебне провере.
I039,Манастир Вазнесење,Vaznesenje Monastery,манастир,monastery,,,,Манастир Вазнесење,,,book-2012-ok-manastiri,17–18,Један од манастира Овчарско-кабларске клисуре обрађених у монографији.,source_verified,Спољни ауторитетски идентификатор није унет без посебне провере.
I040,Манастир Успење,Uspenje Monastery,манастир,monastery,,,,Манастир Успење,,,book-2012-ok-manastiri,17–18,Један од манастира Овчарско-кабларске клисуре обрађених у монографији.,source_verified,Спољни ауторитетски идентификатор није унет без посебне провере.
I041,Манастир Јовање,Jovanje Monastery,манастир,monastery,,,,Манастир Јовање,,,book-2012-ok-manastiri,17–18,Један од манастира Овчарско-кабларске клисуре обрађених у монографији.,source_verified,Спољни ауторитетски идентификатор није унет без посебне провере.
I042,Манастир Илиње,Ilinje Monastery,манастирски комплекс,monastic complex,,,,Манастир Илиње,,,book-2012-ok-manastiri,17–18,Сакрални комплекс у Овчарско-кабларској клисури обрађен у монографији.,source_verified,Спољни ауторитетски идентификатор није унет без посебне провере.
I043,Црква Савиње,Savinje Church,црква,church,,,,Црква Савиње,,,book-2012-ok-manastiri,17–18,Сакрални локалитет у Овчарско-кабларској клисури обрађен у монографији.,source_verified,Спољни ауторитетски идентификатор није унет без посебне провере.
I044,Државни архив Србије,State Archives of Serbia,државни архив,state archive,,,,Државни архив Србије,,,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,3–4,Установа која чува Збирку Мите Петровића и документа коришћена у поставци.,source_verified,Спољни ауторитетски идентификатор није унет без посебне провере.
I045,Жичка епархија,Eparchy of Žiča,епархија Српске православне цркве,eparchy of the Serbian Orthodox Church,,,,Жичка епархија,,,conference_paper-2022-interwar-attitudes-bishop-nikolaj-velimirovic-communists,PDF 9–17,Основни институционални оквир деловања епископа Николаја и анализиране црквене штампе.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
I046,Манастир Стјеник,Stjenik Monastery,манастир,monastery,,,,Манастир Стјеник,,,article-2008-monastery-of-stjenik-at-the-foot-of-jelica-mountain-real-and-invented,PDF 1–4,Главни предмет рада о стварној и измишљеној традицији.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
I047,Црква Светог Николе у Јежевици,Church of Saint Nicholas in Ježevica,црква,church,,,,Црква Светог Николе у Јежевици,,,article-2008-monastery-of-stjenik-at-the-foot-of-jelica-mountain-real-and-invented,PDF 6–12,Обрађена у вези са локалним предањима и преношењем традиција на Стјеник.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
I048,Православна народна хришћанска заједница,Orthodox Popular Christian Community,верски покрет и удружење,religious movement and association,,,,Православна народна хришћанска заједница,,,conference_paper-2022-interwar-attitudes-bishop-nikolaj-velimirovic-communists,PDF 17–20,Организациони оквир богомољачког покрета повезаног са епископом Николајем.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
I049,Југословенски народни покрет Збор,Yugoslav National Movement Zbor,политички покрет,political movement,,,,Југословенски народни покрет Збор,,,conference_paper-2022-interwar-attitudes-bishop-nikolaj-velimirovic-communists,PDF 10–17,"Обрађен у анализи односа Николаја Велимировића, Димитрија Љотића и антикомунизма.",source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
I050,Комунистичка партија Југославије,Communist Party of Yugoslavia,политичка партија,political party,,,,Комунистичка партија Југославије,,,book-2009-a-century-of-doubt-religious-life-in-the-cacak-district-1886-2008,PDF 136–146,"Обрађена у контексту атеизације, рата и социјалистичке политике према религији.",source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
I051,Легенда К.Д.,Legenda K.D.,издавач,publisher,,,,Легенда К.Д.,,,book-2009-a-century-of-doubt-religious-life-in-the-cacak-district-1886-2008,PDF 2–3,Саиздавач монографије „Век сумње”.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
I052,Балканолошки институт САНУ,Institute for Balkan Studies SASA,научни институт,research institute,,,,Балканолошки институт САНУ,,,conference_paper-2022-interwar-attitudes-bishop-nikolaj-velimirovic-communists,PDF 3,Саиздавач зборника у коме је објављен рад.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
I053,St. Sebastian Press,St. Sebastian Press,издавач,publisher,,,,St. Sebastian Press,,,conference_paper-2022-interwar-attitudes-bishop-nikolaj-velimirovic-communists,PDF 3,Саиздавач зборника у коме је објављен рад.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
I054,Матица српска,Matica srpska,научна и културна установа,scholarly and cultural institution,,,,Матица српска,,,article-2026-stavovi-episkopa-nikolaja-velimirovica-potreba-zrtvovanja-za-otadzbinu-1936-1941,PDF 1,Издавач часописа у коме је објављен рад.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
I055,Гимназија у Чачку,Čačak Grammar School,средња школа,secondary school,,,,Гимназија у Чачку,,,book-2009-a-century-of-doubt-religious-life-in-the-cacak-district-1886-2008,PDF 51–57,"Важна локална установа у анализи веронауке, религиозности и секуларизације.",source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
