person_id,name_sr,name_en,birth,death,occupation_sr,occupation_en,wikidata,orcid,source_id,evidence_page_pdf,evidence_note,verification_status,note
P012,Александар Карађорђевић,Alexander Karađorđević,1806,1885,кнез Србије,Prince of Serbia,https://www.wikidata.org/entity/Q317578,,conference_paper-2023-rulers-and-towns-the-press-on-the-visits-of-the-obrenovic-and-karadjor,16,Посете кнеза Александра обрађене су као посебна фаза владарске репрезентације.,verified_authority,
P013,Милан I Обреновић,Milan I Obrenović,1854,1901,краљ Србије,King of Serbia,https://www.wikidata.org/entity/Q313829,,conference_paper-2023-rulers-and-towns-the-press-on-the-visits-of-the-obrenovic-and-karadjor,21,Обрађен у оквиру континуитета владарских посета и династичке политике.,verified_authority,
P014,Наталија Обреновић,Natalie of Serbia,1859,1941,краљица Србије,Queen consort of Serbia,https://www.wikidata.org/entity/Q263949,,book-2025-usklici-iskrenog-odusevljenja,291,Помиње се у породичном и династичком контексту Обреновића.,verified_authority,
P015,Александар Обреновић,Alexander I of Serbia,1876,1903,краљ Србије,King of Serbia,https://www.wikidata.org/entity/Q297547,,book-2025-usklici-iskrenog-odusevljenja,25,Централна личност монографије о путовању владарског пара 1901. године.,verified_authority,
P016,Драга Обреновић,Draga Mašin,1864,1903,краљица Србије,Queen consort of Serbia,https://www.wikidata.org/entity/Q255820,,book-2025-usklici-iskrenog-odusevljenja,25,Централна личност монографије и рада о манастиру Вујан.,review_conflict,Wikidata наводи 1864–1903; у пилот-монографији на једном месту стоји 1866–1903. Усвојен је нормативни податак уз забележену разлику.
P017,Михаило Вујић,Mihailo Vujić,1853,1913,"економиста, дипломата и председник владе","economist, diplomat and prime minister",https://www.wikidata.org/entity/Q6227485,,book-2025-usklici-iskrenog-odusevljenja,29,Председник владе у политичком контексту путовања 1901. године.,verified_authority,
P018,Милован Миловановић,Milovan Milovanović,1863,1912,"политичар, дипломата и правник","politician, diplomat and constitutional lawyer",https://www.wikidata.org/entity/Q1290582,,book-2025-usklici-iskrenog-odusevljenja,30,Државни функционер и учесник политичког контекста путовања.,verified_authority,
P019,Сава Дечанац,Sava Dečanac,1831,1913,жички епископ,Bishop of Žiča,https://www.wikidata.org/entity/Q12434152,,book-2025-usklici-iskrenog-odusevljenja,95,Црквени великодостојник укључен у ритуале дочека владарског пара.,verified_authority,Wikidata ставка користи и име Сава Бараћ.
P020,Вукоман Арачић,Vukoman Aračić,1850,1915,генерал,general,https://www.wikidata.org/entity/Q4068620,,book-2025-usklici-iskrenog-odusevljenja,99,Официр и учесник церемонијалног програма владарског путовања.,verified_authority,
P021,Михаило Срећковић,Mihailo Srećković,1843,1920,генерал,general,,,book-2025-usklici-iskrenog-odusevljenja,61,"Генерал и командант активне војске, наведен међу учесницима путовања.",source_verified_no_external_id,Wikidata ставка није поуздано идентификована у тренутку израде пилота.
P022,Никола Радовановић,Nikola Radovanović,1818,1904,народни посланик и председник општине Чачак,member of parliament and mayor of Čačak,,,book-2025-usklici-iskrenog-odusevljenja,118,Изговорио поздрав владарском пару; у монографији дат биографски опис и фотографија.,source_verified_no_external_id,"Не повезивати са Wikidata Q105947557, која означава савременог кошаркаша истог имена."
P023,Драгутин Васић,Dragutin Vasić,1866,1914,адвокат и народни посланик,lawyer and member of parliament,,,book-2025-usklici-iskrenog-odusevljenja,121,Одржао поздравни говор приликом посете Чачку; у монографији дат биографски опис.,source_verified_no_external_id,"Година смрти је нормализована према потпису фотографије; текст наводи да је погинуо после 1914. године, па је потребна додатна нормативна провера."
P024,Петар I Карађорђевић,Peter I of Serbia,1844,1921,краљ Србије,King of Serbia,https://www.wikidata.org/entity/Q211827,,conference_paper-2023-rulers-and-towns-the-press-on-the-visits-of-the-obrenovic-and-karadjor,27,Његове посете припадају завршној фази анализираног низа владарских путовања.,verified_authority,
P025,Александар I Карађорђевић,Alexander I of Yugoslavia,1888,1934,краљ Југославије,King of Yugoslavia,https://www.wikidata.org/entity/Q207384,,article-2025-ritual-and-politics-the-register-of-godparenthood-of-king-alexander-i,1,Централна личност рада о политичкој употреби краљевских кумстава.,verified_authority,
P026,Михаило Јовановић,Mihailo Jovanović,1826,1898,митрополит београдски,Metropolitan of Belgrade,https://www.wikidata.org/entity/Q10857249,,conference_paper-2024-ephemeral-spectacle-and-princely-visits-of-prince-mihailo-obrenovic-to,23,Црквени великодостојник присутан у опису ритуала владарске посете.,verified_authority,
P027,Надежда Петровић,Nadežda Petrović,1873,1915,сликарка и ратна болничарка,painter and wartime nurse,https://www.wikidata.org/entity/Q264453,,book-2025-nadezda-petrovic-life-art-service-nation,10,"Централна личност монографије; живот, уметност, национални рад и посмртна хероизација анализирани су у целини.",verified_authority,
P028,Иван Мештровић,Ivan Meštrović,1883,1962,вајар и архитекта,sculptor and architect,https://www.wikidata.org/entity/Q313828,,article-2026-jugoslovensko-opredeljenje-nadezde-petrovic-kultura-modernizam-konstrukcija-identiteta,5,Кључни сарадник Надежде Петровић у југословенском уметничком покрету; аутор њеног споменика у Чачку.,verified_authority,
P029,Растко Петровић,Rastko Petrović,1898,1949,књижевник и дипломата,writer and diplomat,https://www.wikidata.org/entity/Q9286452,,book-2025-nadezda-petrovic-life-art-service-nation,43,Брат Надежде Петровић и припадник породичног културног круга који је обликован у монографији.,verified_authority,
P030,Делфа Иванић,Delfa Ivanić,1881,1972,хуманитарна радница и сликарка,humanitarian and painter,https://www.wikidata.org/entity/Q12750769,,article-2026-heroization-of-the-painter-nadezda-petrovic-1915-1941,7,Једна од главних носитељки раног култа Надежде Петровић и организаторка меморијалних активности.,verified_authority,
P031,Димитрије Мита Петровић,Dimitrije Mita Petrović,1852,1911,"историчар, учитељ и писац","historian, teacher and writer",https://www.wikidata.org/entity/Q94661901,,book-2025-nadezda-petrovic-life-art-service-nation,46,Отац Надежде Петровић; породично и интелектуално наслеђе анализирано је у поглављу о одрастању.,verified_authority,
P032,Милева Петровић,Mileva Petrović,,,учитељица,teacher,,,book-2025-nadezda-petrovic-life-art-service-nation,47,Мајка Надежде Петровић и важан носилац породичног васпитања и културног наслеђа.,source_verified_no_external_id,Године рођења и смрти нису нормализоване у пилот-запису.
P033,Јован Скерлић,Jovan Skerlić,1877,1914,књижевни критичар и историчар књижевности,literary critic and literary historian,https://www.wikidata.org/entity/Q1278008,,article-2026-jugoslovensko-opredeljenje-nadezde-petrovic-kultura-modernizam-konstrukcija-identiteta,3,Разматран у интелектуалном и идеолошком оквиру југословенског опредељења Надежде Петровић.,verified_authority,
P034,Вељко Петровић,Veljko Petrović,1884,1967,књижевник и историчар уметности,writer and art historian,https://www.wikidata.org/entity/Q339501,,article-2001-politics-art-and-the-creation-of-traditions-the-erection-of-the-nadezd,18,Учествовао у јавном представљању и тумачењу споменика Надежди Петровић у Чачку.,verified_authority,
P035,Драгомир Минић,Dragomir Minić,1888,1964,председник Општине Чачак; политичар,president of the Municipality of Čačak; politician,,,article-2009-predsednici-opstine-cacak-1944-2010,PDF 2,"Име, године живота и функција потврђени у биографском одељку публикације.",source_verified,Ауторитетски идентификатор није претпостављен; потребна је засебна провера пре допуне Wikidata поља.
P036,Арсеније Ћендић,Arsenije Ćendić,1899,1973,председник Општине Чачак; политичар,president of the Municipality of Čačak; politician,,,article-2009-predsednici-opstine-cacak-1944-2010,PDF 3,"Име, године живота и функција потврђени у биографском одељку публикације.",source_verified,Ауторитетски идентификатор није претпостављен; потребна је засебна провера пре допуне Wikidata поља.
P037,Радојко Крунић,Radojko Krunić,1914,1987,председник Општине Чачак; политичар,president of the Municipality of Čačak; politician,,,article-2009-predsednici-opstine-cacak-1944-2010,PDF 3,"Име, године живота и функција потврђени у биографском одељку публикације.",source_verified,Ауторитетски идентификатор није претпостављен; потребна је засебна провера пре допуне Wikidata поља.
P038,Вучко Милошевић,Vučko Milošević,1919,1990,председник Општине Чачак; политичар,president of the Municipality of Čačak; politician,,,article-2009-predsednici-opstine-cacak-1944-2010,PDF 4,"Име, године живота и функција потврђени у биографском одељку публикације.",source_verified,Ауторитетски идентификатор није претпостављен; потребна је засебна провера пре допуне Wikidata поља.
P039,Михаило Златић,Mihailo Zlatić,1911,1977,председник Општине Чачак; политичар,president of the Municipality of Čačak; politician,,,article-2009-predsednici-opstine-cacak-1944-2010,PDF 5,"Име, године живота и функција потврђени у биографском одељку публикације.",source_verified,Ауторитетски идентификатор није претпостављен; потребна је засебна провера пре допуне Wikidata поља.
P040,Милорад Никшић,Milorad Nikšić,1927,1998,председник Општине Чачак; политичар,president of the Municipality of Čačak; politician,,,article-2009-predsednici-opstine-cacak-1944-2010,PDF 6,"Име, године живота и функција потврђени у биографском одељку публикације.",source_verified,Ауторитетски идентификатор није претпостављен; потребна је засебна провера пре допуне Wikidata поља.
P041,Милош Милосављевић,Miloš Milosavljević,1932,,председник Општине Чачак; политичар,president of the Municipality of Čačak; politician,,,article-2009-predsednici-opstine-cacak-1944-2010,PDF 6,"Име, године живота и функција потврђени у биографском одељку публикације.",source_verified,Ауторитетски идентификатор није претпостављен; потребна је засебна провера пре допуне Wikidata поља.
P042,Драгић Јовановић – Трале,Dragić Jovanović – Trale,1926,1998,председник Општине Чачак; политичар,president of the Municipality of Čačak; politician,,,article-2009-predsednici-opstine-cacak-1944-2010,PDF 7,"Име, године живота и функција потврђени у биографском одељку публикације.",source_verified,Ауторитетски идентификатор није претпостављен; потребна је засебна провера пре допуне Wikidata поља.
P043,Велисав Богићевић,Velisav Bogićević,1931,,председник Општине Чачак; политичар,president of the Municipality of Čačak; politician,,,article-2009-predsednici-opstine-cacak-1944-2010,PDF 9,"Име, године живота и функција потврђени у биографском одељку публикације.",source_verified,Ауторитетски идентификатор није претпостављен; потребна је засебна провера пре допуне Wikidata поља.
P044,Александар Вишњић,Aleksandar Višnjić,1933,,председник Општине Чачак; политичар,president of the Municipality of Čačak; politician,,,article-2009-predsednici-opstine-cacak-1944-2010,PDF 10,"Име, године живота и функција потврђени у биографском одељку публикације.",source_verified,Ауторитетски идентификатор није претпостављен; потребна је засебна провера пре допуне Wikidata поља.
P045,Милован Гавриловић,Milovan Gavrilović,1939,2008,председник Општине Чачак; политичар,president of the Municipality of Čačak; politician,,,article-2009-predsednici-opstine-cacak-1944-2010,PDF 11,"Име, године живота и функција потврђени у биографском одељку публикације.",source_verified,Ауторитетски идентификатор није претпостављен; потребна је засебна провера пре допуне Wikidata поља.
P046,Милош Урошевић,Miloš Urošević,1942,,председник Општине Чачак; политичар,president of the Municipality of Čačak; politician,,,article-2009-predsednici-opstine-cacak-1944-2010,PDF 12,"Име, године живота и функција потврђени у биографском одељку публикације.",source_verified,Ауторитетски идентификатор није претпостављен; потребна је засебна провера пре допуне Wikidata поља.
P047,Родољуб Петровић,Rodoljub Petrović,1940,,председник Општине Чачак; политичар,president of the Municipality of Čačak; politician,,,article-2009-predsednici-opstine-cacak-1944-2010,PDF 13,"Име, године живота и функција потврђени у биографском одељку публикације.",source_verified,Ауторитетски идентификатор није претпостављен; потребна је засебна провера пре допуне Wikidata поља.
P048,Велимир Илић,Velimir Ilić,1951,,председник Општине Чачак; политичар,president of the Municipality of Čačak; politician,,,article-2009-predsednici-opstine-cacak-1944-2010,PDF 15,"Име, године живота и функција потврђени у биографском одељку публикације.",source_verified,Ауторитетски идентификатор није претпостављен; потребна је засебна провера пре допуне Wikidata поља.
P049,Велимир Станојевић,Velimir Stanojević,1964,,председник Општине Чачак; политичар,president of the Municipality of Čačak; politician,,,article-2009-predsednici-opstine-cacak-1944-2010,PDF 17,"Име, године живота и функција потврђени у биографском одељку публикације.",source_verified,Ауторитетски идентификатор није претпостављен; потребна је засебна провера пре допуне Wikidata поља.
P050,Радивоје Бојовић,Radivoje Bojović,,,историчар и музејски кустос,historian and museum curator,,,book-chapter-2013-sest-decenija-rada-narodnog-muzeja-cacak-1952-2012,24,Наведен као кустос Историјског одељења и аутор сталне музејске поставке.,source_verified,Спољни ауторитетски идентификатор није унет без посебне провере.
P051,Страцимир Завидовић,Stracimir Zavidović,,,српски велики жупан,Serbian grand župan,,,book-2021-hram-vaznesenja-gospodnjeg-u-cacku,20,"Повезан са средњовековном Богородицом Градачком, претходницом данашњег храма у Чачку.",source_verified,Хронолошке податке и нормативни запис треба накнадно проверити.
P052,Никифор Максимовић,Nikifor Maksimović,,,епископ жички,Bishop of Žiča,,,book-2021-hram-vaznesenja-gospodnjeg-u-cacku,46–47,Обрађен у вези са обновом храма и црквеним наслеђем Чачка.,source_verified,Спољни ауторитетски идентификатор није унет без посебне провере.
P053,Јован Курсула,Jovan Kursula,1768,1813,устанички војвода,Serbian revolutionary commander,,,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,3,"Личност је представљена у сталној поставци цртежом, сликом и биографским контекстом.",source_verified,
P054,Милан Обреновић,Milan Obrenović,1767,1810,устанички војвода,Serbian revolutionary commander,,,article-2024-permanent-museum-exhibition-uprisings-and-wars-1804-1941-in-the-reside,3,Личност је представљена у сталној поставци портретом и документима.,source_verified,Не мешати са краљем Миланом I Обреновићем (P013).
P055,Николај Велимировић,Nikolaj Velimirović,1881,1956,"епископ жички, теолог и писац","Bishop of Žiča, theologian and writer",,,conference_paper-2022-interwar-attitudes-bishop-nikolaj-velimirovic-communists,PDF 9–17,Централна личност рада; године живота наведене су у уводном делу.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P056,Свети Сава,Saint Sava,,,српски архиепископ и светитељ,Serbian archbishop and saint,,,article-2021-deca-svetog-save-zavetna-zajednica,PDF 8–17,"Централна фигура анализе заветне заједнице, светосавља и националног идентитета.",source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P057,Јован Стјенички,Jovan of Stjenik,,,локално поштовани монах и култна личност,locally venerated monk and cult figure,,,article-2008-monastery-of-stjenik-at-the-foot-of-jelica-mountain-real-and-invented,PDF 1–4,Рад критички анализира историјску утемељеност и развој култа Јована Стјеничког.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P058,Милисав Протић,Milisav Protić,1910,,православни свештеник и локални писац,Orthodox priest and local writer,,,article-2008-monastery-of-stjenik-at-the-foot-of-jelica-mountain-real-and-invented,PDF 6–11,Обрађен као кључни творац и преносилац нових предања о Стјенику и Јежевици.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P059,Димитрије Љотић,Dimitrije Ljotić,1891,1945,политичар и идеолог покрета Збор,politician and ideologue of the Zbor movement,,,conference_paper-2022-interwar-attitudes-bishop-nikolaj-velimirovic-communists,PDF 10–17,Обрађен у контексту односа владике Николаја према антикомунизму и покрету Збор.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P060,Гаврило Дожић,Gavrilo Dožić,1881,1950,патријарх српски,Patriarch of Serbia,,,article-2007-storm-winds-blew-bishop-nikolaj-velimirovics-attitudes-toward-jews-lib,PDF 16–17,Помиње се у контексту црквеног и јавног деловања пред Други светски рат.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P061,Милан Стојадиновић,Milan Stojadinović,1888,1961,председник владе Краљевине Југославије,Prime Minister of the Kingdom of Yugoslavia,,,article-2007-storm-winds-blew-bishop-nikolaj-velimirovics-attitudes-toward-jews-lib,PDF 8–9,Обрађен у контексту политичког сукоба са епископом Николајем.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P062,Драгиша Цветковић,Dragiša Cvetković,1893,1969,председник владе Краљевине Југославије,Prime Minister of the Kingdom of Yugoslavia,,,article-2007-storm-winds-blew-bishop-nikolaj-velimirovics-attitudes-toward-jews-lib,PDF 16–18,Помиње се у анализи политичког контекста и државне политике пред рат.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P063,Адолф Хитлер,Adolf Hitler,1889,1945,немачки диктатор,German dictator,,,article-2007-storm-winds-blew-bishop-nikolaj-velimirovics-attitudes-toward-jews-lib,PDF 16–18,Појављује се у анализи односа црквене штампе и владике Николаја према нацизму.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P064,Јосип Броз Тито,Josip Broz Tito,1892,1980,југословенски комунистички вођа и државник,Yugoslav communist leader and statesman,,,book-2009-a-century-of-doubt-religious-life-in-the-cacak-district-1886-2008,PDF 143–151,"Обрађен у контексту социјалистичке државе, атеизације и односа власти према религији.",source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P065,Драгољуб Дража Михаиловић,Dragoljub Draža Mihailović,1893,1946,генерал и командант Југословенске војске у отаџбини,general and commander of the Yugoslav Army in the Homeland,,,book-2009-a-century-of-doubt-religious-life-in-the-cacak-district-1886-2008,PDF 139–145,"Помиње се у контексту рата, покрета отпора и положаја свештенства.",source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P066,Јустин Поповић,Justin Popović,1894,1979,православни теолог и архимандрит,Orthodox theologian and archimandrite,,,book-2009-a-century-of-doubt-religious-life-in-the-cacak-district-1886-2008,PDF 59–64,Обрађен као један од православних критичара модерних идеологија.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P067,Варнава Росић,Varnava Rosić,1880,1937,патријарх српски,Patriarch of Serbia,,,article-2026-stavovi-episkopa-nikolaja-velimirovica-potreba-zrtvovanja-za-otadzbinu-1936-1941,PDF 13–15,Помиње се у анализи патриотских беседа и црквено-државног контекста.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P068,Лазар Хребељановић,Lazar Hrebeljanović,,1389,српски кнез,Serbian prince,,,article-2026-stavovi-episkopa-nikolaja-velimirovica-potreba-zrtvovanja-za-otadzbinu-1936-1941,PDF 1–3,Култ кнеза Лазара и косовска жртва чине важан део анализираног идејног оквира.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P069,Стефан Немања,Stefan Nemanja,,1199,српски велики жупан,Serbian grand župan,,,article-2021-deca-svetog-save-zavetna-zajednica,PDF 8–14,Обрађен у анализи немањићке владарске идеологије и стварања заветне заједнице.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P070,Стефан Првовенчани,Stefan the First-Crowned,,1228,српски краљ,King of Serbia,,,article-2021-deca-svetog-save-zavetna-zajednica,PDF 11–12,Обрађен у контексту сакралне владарске идеологије Немањића.,source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
P071,Карл Маркс,Karl Marx,1818,1883,филозоф и политички теоретичар,philosopher and political theorist,,,conference_paper-2022-interwar-attitudes-bishop-nikolaj-velimirovic-communists,PDF 31–35,"Обрађен у анализи Николајеве критике марксизма, атеизма и комунизма.",source_verified_no_external_id,Спољни ауторитетски идентификатор није унет без засебне нормативне провере.
